College Name|College ID|USN|Stundet Name|10th Percentage|12th Percentage|College CGPA|Course|Coding Test Time|Coding Test Score
Christopher Mcneil|CHRI|CHRI06217|Richard Brown|84.2|76.0 Perc|9.5|CSE|30 Jan 2023 10:47:56+0530|5
Andrew Diaz|ANDR|ANDR06218|Heather Horton|91.4|82.2|8.5|MECH|28 Sep 2022 02:29:40-0300|14
Laura Sawyer|LAUR|LAUR06219|Laura Wilkinson|87.6|97.2 %|8.9|MECH|25 Sep 2022 14:25:37+0800|8
Erik Herrera|ERIK|ERIK06220|Michael Daniels|86.6|96.8|9.9|MECH|06 Oct 2022 08:47:41-0300|4
Pamela Harris|PAME|PAME06221|Bethany Freeman|79.8|82.4 Perc|8.5|CSE-ML|28 Dec 2022 02:54:33-0300|2
Christopher Mcneil|CHRI|CHRI06222|Catherine Nelson|99.9|76.6 Perc|8.6|MECH|05 Mar 2023 15:03:39-0300|0
Raymond Russell|RAYM|RAYM06223|Andrew Campbell|88.7|92.2 %|8.1|CSE-ML|13 Dec 2022 16:03:27+0800|14
Laura Sawyer|LAUR|LAUR06224|Joshua Steele|96.0|79.2 Perc|9.3|CSE-AI|14 Feb 2023 09:07:05-0300|1
Andrew Diaz|ANDR|ANDR06225|Samantha Torres|96.7|89.1|9.4|MECH|30 Oct 2022 02:17:19+0530|1
Michael Green|MICH|MICH06226|Steven White|98.1|95.7 Perc|9.7|CSE-AI|18 Nov 2022 00:10:32+0800|9
Mr. Joshua Summers DDS|MR. |MR. 06227|Erika Montoya|87.6|80.4|9.3|MECH|17 Jul 2022 09:27:19-0400|13
Pamela Harris|PAME|PAME06228|Jason Williamson|91.1|80.8 Perc|7.7|CSE|28 Dec 2022 06:30:05-0300|5
Christopher Mcneil|CHRI|CHRI06229|Paul Turner|99.4|78.8|9.4|CSE|18 Aug 2022 11:37:51+0000|3
Christopher Mcneil|CHRI|CHRI06230|Crystal Stewart|85.1|82.2 %|7.9|CSE-ML|03 Mar 2023 21:59:45+0530|4
Christopher Mcneil|CHRI|CHRI06231|Amanda Hodges MD|83.8|88.6 Perc|7.7|CSE-AI|06 Oct 2022 17:14:46+0530|0
Mitchell Scott|MITC|MITC06232|Keith Hall|98.5|91.4|7.5|CSE-AI|16 Aug 2022 23:41:09+0000|13
William Webster|WILL|WILL06233|Dr. Ashley Davila DDS|76.9|76.8|9.0|MECH|17 Oct 2022 02:48:32+0800|1
Laura Sawyer|LAUR|LAUR06234|Christopher Bryant|87.1|88.4 Perc|8.1|CSE-ML|20 Aug 2022 11:51:55-0400|11
Michelle Pineda|MICH|MICH06235|Michael Hart|85.1|96.6|9.6|MECH|30 May 2023 06:41:40-0400|14
Joseph Horton|JOSE|JOSE06236|Kelly Meza|97.2|94.5 Perc|7.8|MECH|15 May 2023 19:34:15+0800|9
William Webster|WILL|WILL06237|Jonathan Buchanan|81.2|84.1|8.7|CSE-ML|31 Oct 2022 16:03:27-0300|3
Andrew Murphy|ANDR|ANDR06238|Andre Martinez|92.5|95.5 %|8.5|CSE-AI|24 Dec 2022 17:03:55-0300|2
Traci Maynard|TRAC|TRAC06239|Scott Mason|93.6|92.5|8.0|CSE|17 Jul 2022 18:57:28+0800|9
Laura Sawyer|LAUR|LAUR06240|Tanya Snyder|90.9|89.2 Perc|9.0|CSE-ML|01 Nov 2022 20:54:09+0530|10
Andrew Murphy|ANDR|ANDR06241|Wesley Martin|93.0|92.1|9.0|MECH|20 Jul 2022 07:42:36+0000|5
Timothy Rodriguez|TIMO|TIMO06242|Alan Black|87.3|77.5 Perc|8.9|MECH|23 Dec 2022 23:35:36-0300|10
Brandon Barker|BRAN|BRAN06243|Douglas Love|99.9|96.2 %|9.0|CSE|18 Jan 2023 14:07:25+0000|0
Michael Green|MICH|MICH06244|Paul Moore|86.4|80.7 %|9.2|CSE-AI|05 May 2023 04:48:39-0400|1
Laura Sawyer|LAUR|LAUR06245|Christopher Holden|89.3|99.8 %|8.9|CSE|25 Jun 2022 19:50:51-0400|9
Traci Maynard|TRAC|TRAC06246|Teresa Francis|80.3|90.1 Perc|9.9|CSE|18 Nov 2022 00:10:32+0800|2
Lauren Jones|LAUR|LAUR06247|Elizabeth Rivera|99.7|93.9 %|8.3|CSE|21 Jul 2022 02:42:34-0400|12
Cheryl Adams|CHER|CHER06248|Lauren Conley|86.6|84.0 %|9.2|MECH|02 Oct 2022 05:55:46+0000|5
Timothy Rodriguez|TIMO|TIMO06249|Pamela Doyle|99.7|91.4 %|9.5|MECH|12 Oct 2022 20:30:37+0800|1
Mr. Joshua Summers DDS|MR. |MR. 06250|Cynthia Ross|77.9|85.4|9.9|CSE-AI|25 Apr 2023 21:54:33+0800|10
Michelle Pineda|MICH|MICH06251|Stephanie Jacobs|97.9|96.2 %|7.7|CSE-AI|04 Jan 2023 08:01:13+0000|12
Ryan Gonzalez|RYAN|RYAN06252|Sheila Cohen|96.3|98.4 %|8.7|CSE-ML|22 Oct 2022 15:49:52+0000|14
Andrew Murphy|ANDR|ANDR06253|Timothy Davis|89.2|86.3 %|8.0|CSE|27 May 2023 04:03:26+0530|1
Michelle Pineda|MICH|MICH06254|Thomas Rivera|98.0|90.1 %|8.3|MECH|08 Jun 2022 12:16:16-0400|1
Ryan Gonzalez|RYAN|RYAN06255|Whitney Watts|82.5|83.3 Perc|9.6|MECH|26 Jul 2022 14:02:17+0000|4
Timothy Rodriguez|TIMO|TIMO06256|Kenneth Willis|97.8|79.4|8.8|CSE-ML|21 Apr 2023 20:28:46+0800|14
Alexis Dean|ALEX|ALEX06257|Jim Evans|86.2|94.7|8.0|CSE-ML|19 Jan 2023 07:04:49+0530|4
Timothy Rodriguez|TIMO|TIMO06258|Rose Case|85.9|77.2|7.6|MECH|02 Jun 2023 09:04:19+0530|9
William Webster|WILL|WILL06259|Steven Schultz|93.3|94.1|9.2|CSE-AI|06 Mar 2023 05:31:35+0800|3
Alexis Dean|ALEX|ALEX06260|Brandon Kelly PhD|82.1|91.8 Perc|8.0|CSE|24 Oct 2022 22:04:44+0000|4
Andrew Murphy|ANDR|ANDR06261|Jacob Patrick|85.8|85.3|9.0|MECH|05 Feb 2023 16:47:45+0530|10
Timothy Rodriguez|TIMO|TIMO06262|Ryan Hobbs|94.6|95.5 Perc|7.6|MECH|12 Aug 2022 17:29:53+0530|7
Michael Green|MICH|MICH06263|Scott Fox Jr.|78.6|87.1|7.5|MECH|28 Jan 2023 12:12:57-0300|8
Michael Green|MICH|MICH06264|Rhonda Tapia|91.1|79.2 %|8.0|CSE-AI|04 Jan 2023 08:01:13+0000|1
William Webster|WILL|WILL06265|Jason Bush|89.1|80.6 Perc|9.7|CSE-ML|03 Mar 2023 19:20:34+0800|14
Cheryl Adams|CHER|CHER06266|Doris Williams|92.7|93.7|8.3|MECH|30 May 2023 07:41:00+0530|0
Andrew Murphy|ANDR|ANDR06267|Brianna Barrett|91.4|92.3 Perc|9.0|CSE-AI|26 Nov 2022 17:02:35+0000|6
Michael Green|MICH|MICH06268|Thomas Harris|75.9|78.7 Perc|8.4|MECH|19 Dec 2022 11:12:53-0300|5
Alexis Dean|ALEX|ALEX06269|Russell Hall|80.9|78.8 %|9.5|CSE-AI|25 Sep 2022 02:30:36-0300|2
Andrew Murphy|ANDR|ANDR06270|Lydia Mckinney|77.5|79.6 Perc|8.6|MECH|10 Feb 2023 16:47:38+0530|13
Mr. Joshua Summers DDS|MR. |MR. 06271|Ashley Hopkins|84.2|94.0 %|8.1|CSE-ML|27 May 2023 04:03:26+0530|12
Mitchell Scott|MITC|MITC06272|Tyler Howell|87.0|88.0|9.9|MECH|12 Jan 2023 16:51:01+0530|5
Alexis Dean|ALEX|ALEX06273|James Rice|79.0|88.9|8.5|CSE-AI|29 Aug 2022 09:56:48-0400|10
Traci Maynard|TRAC|TRAC06274|Anthony Dillon|75.3|93.9|9.4|CSE-AI|10 Apr 2023 11:20:44+0000|7
Brandon Barker|BRAN|BRAN06275|Ashley Wheeler|97.1|80.1 %|9.0|MECH|07 Jul 2022 08:00:09-0400|13
Traci Maynard|TRAC|TRAC06276|Jacob Mccall|80.0|89.5|8.5|CSE-ML|26 Jul 2022 23:13:59-0400|3
Mr. Joshua Summers DDS|MR. |MR. 06277|Joseph Russell|95.0|82.8 Perc|9.4|CSE-AI|28 Sep 2022 09:30:58+0800|4
Andrew Murphy|ANDR|ANDR06278|Brian Ray|75.8|90.9 Perc|8.2|CSE-AI|23 Feb 2023 23:52:40+0800|9
Ryan Gonzalez|RYAN|RYAN06279|Melinda Anderson|88.6|78.4 %|9.4|MECH|03 Mar 2023 21:59:45+0530|1
Laura Sawyer|LAUR|LAUR06280|Andrea Freeman|76.0|91.4 Perc|8.3|CSE|25 Jul 2022 12:05:30-0400|1
Christopher Mcneil|CHRI|CHRI06281|Christopher Miller|97.8|86.0 Perc|9.9|CSE-AI|29 May 2023 16:42:40+0800|9
Laura Sawyer|LAUR|LAUR06282|Lisa Richardson|82.6|81.1|9.2|CSE|24 Feb 2023 23:29:49+0800|12
Lauren Jones|LAUR|LAUR06283|Katherine Decker|76.0|94.4 Perc|7.7|CSE-AI|03 Aug 2022 19:45:59+0530|8
Michael Green|MICH|MICH06284|Mario Taylor|75.0|90.3 %|8.3|CSE-AI|02 Nov 2022 20:24:46+0000|2
Andrew Diaz|ANDR|ANDR06285|Nathan Murphy|82.0|97.6 Perc|8.9|CSE-ML|02 Aug 2022 17:17:56+0800|13
Laura Sawyer|LAUR|LAUR06286|Casey Harrison|76.2|94.0 %|8.5|MECH|06 Nov 2022 18:37:47+0530|3
Brandon Barker|BRAN|BRAN06287|Phillip Cooke|86.8|94.6 Perc|9.7|CSE-AI|20 Jan 2023 21:08:38-0300|0
Joseph Horton|JOSE|JOSE06288|Diana Leblanc|80.2|85.4 %|8.7|MECH|16 May 2023 14:43:33+0800|5
Brandon Barker|BRAN|BRAN06289|Richard Johnson|94.3|97.8 %|9.5|CSE-AI|21 Jun 2022 10:21:23+0800|8
Laura Sawyer|LAUR|LAUR06290|Sandra Chapman|93.5|92.2|8.6|MECH|01 Nov 2022 20:54:09+0530|4
Erik Herrera|ERIK|ERIK06291|Kimberly Gomez|96.5|98.9 %|8.0|MECH|18 Dec 2022 11:45:47+0000|2
Lauren Jones|LAUR|LAUR06292|John Williams|98.9|87.1 %|9.2|CSE-AI|23 Jun 2022 20:41:14+0530|6
Ryan Gonzalez|RYAN|RYAN06293|Thomas Knapp|90.7|88.7 Perc|8.2|CSE|06 Nov 2022 18:37:47+0530|14
Joseph Horton|JOSE|JOSE06294|Erik Kerr|91.8|81.4 Perc|8.5|MECH|30 Mar 2023 13:55:12+0800|5
Joseph Horton|JOSE|JOSE06295|Tiffany Johnson|78.8|86.8 Perc|8.4|MECH|07 Jul 2022 00:01:39+0000|9
Mr. Joshua Summers DDS|MR. |MR. 06296|Linda Moore|92.3|81.3 Perc|8.7|MECH|30 May 2023 06:41:40-0400|5
Christopher Mcneil|CHRI|CHRI06297|Joseph Schmidt|95.3|80.1 Perc|9.4|MECH|26 Oct 2022 01:36:43+0800|14
Ryan Gonzalez|RYAN|RYAN06298|Robin Sanchez|87.9|86.7 Perc|9.6|CSE-ML|07 Sep 2022 23:03:25+0800|13
Lauren Jones|LAUR|LAUR06299|Elizabeth Cruz|78.1|98.1 Perc|8.6|CSE|31 Oct 2022 14:03:40+0530|13
Timothy Rodriguez|TIMO|TIMO06300|Tiffany Smith|79.0|88.5 %|9.9|CSE-AI|18 Oct 2022 11:58:54-0300|8
Cheryl Adams|CHER|CHER06301|Joel Wilson|89.1|94.8|9.6|MECH|05 Sep 2022 02:15:57+0800|1
Timothy Rodriguez|TIMO|TIMO06302|Sharon Perez|86.6|82.6 %|9.3|CSE|22 Feb 2023 02:56:20+0000|3
Michelle Pineda|MICH|MICH06303|Nicholas Valdez|98.3|76.3|9.8|CSE-ML|15 Jul 2022 22:11:45+0530|11
Brandon Barker|BRAN|BRAN06304|Brenda Lee|83.4|98.1|9.8|MECH|17 Jan 2023 02:42:02+0530|11
Lauren Jones|LAUR|LAUR06305|Richard Meyer|92.2|82.9 Perc|7.9|CSE|03 Apr 2023 08:15:16+0800|9
Pamela Harris|PAME|PAME06306|Eric Hughes|81.3|90.2 Perc|9.1|CSE-ML|23 Apr 2023 15:10:04+0530|9
Andrew Diaz|ANDR|ANDR06307|Carl Hodges|81.8|90.2 %|9.8|CSE|15 Feb 2023 03:52:02+0000|8
Alexis Dean|ALEX|ALEX06308|Amanda Barnett|90.6|76.5 %|9.2|MECH|29 Nov 2022 14:00:33+0530|6
William Webster|WILL|WILL06309|Ryan Griffin|95.4|98.0 %|7.5|CSE-AI|15 Sep 2022 23:03:12+0000|3
William Webster|WILL|WILL06310|Derek Henry|82.5|75.0 Perc|7.5|CSE-AI|14 Nov 2022 20:17:35+0000|9
Timothy Rodriguez|TIMO|TIMO06311|Carol Fleming|99.4|85.0 Perc|9.4|CSE-ML|13 Aug 2022 00:27:52+0000|11
Brandon Barker|BRAN|BRAN06312|Dr. Samantha Anderson MD|78.7|98.5 Perc|8.4|CSE-AI|18 Mar 2023 23:39:11+0800|12
Lauren Jones|LAUR|LAUR06313|John Ford|96.3|80.7 %|9.1|CSE|16 May 2023 05:06:01+0530|14
Joseph Horton|JOSE|JOSE06314|Julie Lopez|82.8|97.1 %|8.3|MECH|01 Nov 2022 06:50:01+0530|14
Mr. Joshua Summers DDS|MR. |MR. 06315|Scott Flores|79.9|86.9 %|9.6|CSE-ML|12 Aug 2022 17:29:53+0530|6
Pamela Harris|PAME|PAME06316|Mr. Thomas Serrano MD|92.2|93.2 %|7.7|CSE-ML|17 Sep 2022 06:52:03+0000|2
Michelle Pineda|MICH|MICH06317|Ryan Pittman|82.2|88.2 Perc|9.4|MECH|14 Nov 2022 20:17:35+0000|11
Raymond Russell|RAYM|RAYM06318|John Fisher|89.8|78.5 Perc|9.8|MECH|04 Jun 2023 11:17:22+0530|11
Brandon Barker|BRAN|BRAN06319|Mrs. Casey Rodriguez|93.3|80.7 Perc|7.5|CSE-ML|18 Dec 2022 11:45:47+0000|3
Laura Sawyer|LAUR|LAUR06320|Brian Tucker|91.2|92.0 Perc|8.7|CSE|05 May 2023 04:48:39-0400|4
Traci Maynard|TRAC|TRAC06321|Molly Wood|95.0|95.2 Perc|7.5|MECH|05 Feb 2023 21:59:42+0000|1
Brandon Barker|BRAN|BRAN06322|Charles Perez|79.1|80.2 %|9.7|CSE-AI|02 Jun 2023 09:04:19+0530|12
Brandon Barker|BRAN|BRAN06323|Denise Meyers|96.5|92.7 Perc|9.7|MECH|21 Jul 2022 22:09:21+0530|6
Joseph Horton|JOSE|JOSE06324|Joel Solis|83.6|75.7 Perc|7.6|CSE|23 Apr 2023 15:10:04+0530|9
Traci Maynard|TRAC|TRAC06325|Robert Zamora|86.1|88.0|8.0|CSE-ML|01 Jan 2023 08:33:06+0530|1
Mr. Joshua Summers DDS|MR. |MR. 06326|Larry Davenport|83.3|84.7 Perc|9.1|MECH|14 Feb 2023 14:26:31+0530|10
Laura Sawyer|LAUR|LAUR06327|Christopher Parker|94.0|75.5 %|9.9|CSE-AI|26 Oct 2022 16:29:55+0000|10
Pamela Harris|PAME|PAME06328|Alexandra Kelley|88.2|93.9|8.6|CSE-AI|20 Jan 2023 21:08:38-0300|2
Mr. Joshua Summers DDS|MR. |MR. 06329|Michelle Webb|77.2|96.5|9.7|MECH|07 Jul 2022 14:24:53+0800|8
Laura Sawyer|LAUR|LAUR06330|Billy Tucker|76.9|84.8 Perc|9.3|MECH|26 Feb 2023 07:47:48-0300|8
Erik Herrera|ERIK|ERIK06331|Alexis Beck|89.4|83.7 Perc|7.6|MECH|20 Jul 2022 07:42:36+0000|10
Erik Herrera|ERIK|ERIK06332|Stephanie Miller|94.1|79.9 Perc|9.7|CSE-ML|25 Oct 2022 09:35:53+0530|3
Andrew Murphy|ANDR|ANDR06333|Vernon Lopez|99.9|85.5 %|9.2|CSE|25 Oct 2022 09:35:53+0530|11
Christopher Mcneil|CHRI|CHRI06334|Elaine Flores|97.2|93.7 %|8.2|MECH|25 Apr 2023 06:03:48+0800|7
Christopher Mcneil|CHRI|CHRI06335|Kayla Wilson|91.7|93.8 %|9.1|MECH|17 Sep 2022 06:52:03+0000|13
Laura Sawyer|LAUR|LAUR06336|Austin Dixon|95.3|98.6 %|7.7|CSE-ML|17 Mar 2023 21:01:38+0800|9
Andrew Murphy|ANDR|ANDR06337|Lawrence Ramirez|85.7|97.9 %|8.9|CSE-ML|29 Sep 2022 19:25:57+0530|4
Ryan Gonzalez|RYAN|RYAN06338|Patricia Hicks|89.8|88.6|7.6|CSE|04 Oct 2022 00:16:58+0000|5
Joseph Horton|JOSE|JOSE06339|Adam Warren|95.8|79.7 Perc|9.0|MECH|27 Feb 2023 03:55:58+0530|3
Erik Herrera|ERIK|ERIK06340|Tonya Johnson|94.8|81.3|9.5|CSE|29 Aug 2022 09:56:48-0400|1
Christopher Mcneil|CHRI|CHRI06341|Austin Hamilton|90.8|96.8 Perc|7.8|CSE-AI|02 Nov 2022 20:24:46+0000|1
Ryan Gonzalez|RYAN|RYAN06342|Tyler Kane|82.6|89.5|7.8|CSE-AI|21 Dec 2022 04:47:00+0000|11
Michael Green|MICH|MICH06343|Jodi Nichols|80.6|97.2 %|9.9|CSE|25 Oct 2022 09:35:53+0530|0
Pamela Harris|PAME|PAME06344|Danielle Sullivan|88.2|94.4 Perc|9.0|MECH|10 Jul 2022 00:44:14+0800|9
Brandon Barker|BRAN|BRAN06345|Jimmy Fisher|89.9|92.9 %|8.1|CSE|20 May 2023 03:06:25+0530|12
Alexis Dean|ALEX|ALEX06346|Steven Garcia|84.0|93.0|7.8|CSE|27 Sep 2022 23:15:37-0300|12
Laura Sawyer|LAUR|LAUR06347|Heather Vasquez|91.1|76.0|8.0|MECH|06 Oct 2022 19:27:53+0000|0
Joseph Horton|JOSE|JOSE06348|Shane Brown|98.4|97.4|9.4|MECH|12 Oct 2022 20:30:37+0800|2
Mitchell Scott|MITC|MITC06349|Jose Waller|90.7|83.8|8.8|CSE|16 Feb 2023 12:14:30+0000|4
Laura Sawyer|LAUR|LAUR06350|Gloria Chandler|86.9|90.5|8.4|CSE-ML|15 Apr 2023 09:22:49+0000|4
Traci Maynard|TRAC|TRAC06351|Paul Roberson|97.6|84.3 %|8.0|CSE-AI|16 Nov 2022 06:23:21+0530|9
Michelle Pineda|MICH|MICH06352|Jeffrey Holmes|80.6|90.1 Perc|9.4|CSE-AI|05 May 2023 04:48:39-0400|7
Michelle Pineda|MICH|MICH06353|Cheryl Butler|93.1|80.9|9.1|MECH|12 Jan 2023 06:47:28+0800|0
Mitchell Scott|MITC|MITC06354|Stephen Ibarra|86.8|96.9 %|9.9|CSE-ML|20 May 2023 03:06:25+0530|13
Ryan Gonzalez|RYAN|RYAN06355|Cindy Medina|97.9|78.4 Perc|9.1|CSE-ML|26 Oct 2022 16:29:55+0000|7
Mr. Joshua Summers DDS|MR. |MR. 06356|Jessica Castro|83.2|87.7|9.6|CSE-AI|26 Nov 2022 20:27:02-0300|6
Timothy Rodriguez|TIMO|TIMO06357|Lauren Doyle|87.5|88.2 %|9.6|MECH|04 Oct 2022 00:16:58+0000|6
Brandon Barker|BRAN|BRAN06358|Deanna Walters|93.4|87.0 Perc|9.9|CSE-AI|01 Feb 2023 01:37:28+0800|6
Mitchell Scott|MITC|MITC06359|Mark Duran|78.5|92.3 Perc|8.6|MECH|03 Jul 2022 13:39:43+0000|11
Joseph Horton|JOSE|JOSE06360|Kevin Guerrero|93.9|94.0 %|9.8|CSE|28 Mar 2023 03:57:14+0000|6
William Webster|WILL|WILL06361|Jennifer Gross|85.3|95.9 %|9.8|CSE-ML|23 Dec 2022 09:03:01+0800|0
William Webster|WILL|WILL06362|Rebecca Hill|90.0|93.1 Perc|9.7|CSE-ML|17 Mar 2023 21:01:38+0800|2
Christopher Mcneil|CHRI|CHRI06363|Timothy Johnson|91.3|86.6|8.1|MECH|08 Apr 2023 18:16:48+0530|12
Mitchell Scott|MITC|MITC06364|Tammy Peck|92.1|95.4|8.9|MECH|23 Feb 2023 13:52:38+0800|10
Christopher Mcneil|CHRI|CHRI06365|Nicholas Roberts|97.7|78.6|8.0|MECH|24 Feb 2023 23:29:49+0800|2
Ryan Gonzalez|RYAN|RYAN06366|David Ruiz DDS|89.4|87.0 Perc|8.8|MECH|01 Mar 2023 01:43:13+0800|8
Christopher Mcneil|CHRI|CHRI06367|Brian Hall|98.7|82.6 Perc|8.5|MECH|26 Oct 2022 13:58:16-0300|0
Pamela Harris|PAME|PAME06368|James Graham|75.4|95.1|8.4|CSE|11 Mar 2023 22:54:54+0800|4
Traci Maynard|TRAC|TRAC06369|Charles Rivera|96.1|85.8 Perc|7.8|CSE-AI|06 Oct 2022 19:27:53+0000|12
Mr. Joshua Summers DDS|MR. |MR. 06370|Lynn Barnes|87.9|85.0 %|8.3|CSE-ML|19 Jun 2022 00:34:47+0530|7
Michael Green|MICH|MICH06371|Jeremy Johnson|85.5|81.7|9.2|MECH|11 Sep 2022 08:38:12+0530|0
Ryan Gonzalez|RYAN|RYAN06372|Charles Stone|84.2|75.0 %|8.5|CSE-ML|15 Jul 2022 10:04:06+0530|5
Michael Green|MICH|MICH06373|Patrick Kirk|79.7|75.1 %|9.2|CSE-ML|08 Jul 2022 17:34:59+0530|13
Michelle Pineda|MICH|MICH06374|Jordan Clay|92.0|87.7|7.9|MECH|30 Oct 2022 08:12:42+0800|12
Christopher Mcneil|CHRI|CHRI06375|Brenda Smith|85.7|76.3|8.7|CSE|20 Aug 2022 11:51:55-0400|6
Timothy Rodriguez|TIMO|TIMO06376|Kyle Bailey|87.2|99.7 Perc|9.9|CSE-AI|01 Dec 2022 05:27:07-0300|8
Lauren Jones|LAUR|LAUR06377|Virginia Blevins|82.0|87.5 %|9.3|CSE|14 May 2023 19:54:40+0000|3
Lauren Jones|LAUR|LAUR06378|Tonya Nichols|92.4|87.2|7.5|CSE|06 Jul 2022 12:27:15-0400|4
Pamela Harris|PAME|PAME06379|Paul Clark|76.3|85.7|9.5|CSE-AI|08 Jul 2022 17:34:59+0530|12
Laura Sawyer|LAUR|LAUR06380|Robert Castaneda|78.2|86.6 Perc|8.2|CSE-AI|26 May 2023 02:08:53+0800|6
Raymond Russell|RAYM|RAYM06381|Jacob Jensen|88.5|91.6 %|8.9|CSE-ML|07 Oct 2022 22:02:53+0530|5
Michael Green|MICH|MICH06382|Ryan Baxter|99.5|83.7 Perc|8.7|CSE|28 Dec 2022 02:54:33-0300|6
Pamela Harris|PAME|PAME06383|Joseph Taylor|84.1|90.3 %|9.6|CSE-AI|29 Aug 2022 09:56:48-0400|4
Erik Herrera|ERIK|ERIK06384|Andrew Woods|86.9|97.0 %|9.6|CSE-AI|07 Jun 2023 01:56:44+0800|1
Raymond Russell|RAYM|RAYM06385|Sean Wong|92.7|87.3 %|9.1|CSE-ML|09 Apr 2023 11:00:33-0400|14
William Webster|WILL|WILL06386|Anthony Walker|75.7|95.3|9.5|CSE-AI|09 Aug 2022 02:22:41+0800|13
Timothy Rodriguez|TIMO|TIMO06387|Luis Colon|93.3|90.1 Perc|9.6|CSE-AI|26 May 2023 07:11:36-0400|12
Alexis Dean|ALEX|ALEX06388|Alexander Hall|75.4|89.3 Perc|8.7|CSE-ML|03 Jul 2022 14:11:40+0800|5
Andrew Diaz|ANDR|ANDR06389|Lauren Valdez|89.5|83.7|8.6|CSE-AI|16 May 2023 05:06:01+0530|13
Traci Maynard|TRAC|TRAC06390|Amanda Wiley|93.3|85.8|9.5|MECH|15 Jul 2022 10:04:06+0530|7
Mr. Joshua Summers DDS|MR. |MR. 06391|John Patel|99.1|84.1 Perc|9.7|CSE-ML|15 Nov 2022 03:30:58+0000|14
Raymond Russell|RAYM|RAYM06392|Angel Thompson|78.9|96.1|8.0|MECH|11 Sep 2022 08:38:12+0530|1
Michelle Pineda|MICH|MICH06393|Joshua Kim|98.2|97.3 Perc|9.2|MECH|30 Oct 2022 08:12:42+0800|12
Cheryl Adams|CHER|CHER06394|Jason Davis|81.2|83.7 %|9.0|CSE-AI|30 Oct 2022 02:17:19+0530|2
Lauren Jones|LAUR|LAUR06395|Dylan Hendricks|80.0|85.0 Perc|8.4|CSE-AI|15 Jul 2022 10:04:06+0530|7
Michael Green|MICH|MICH06396|Rebecca Coleman|92.1|79.9 Perc|9.3|CSE-ML|12 Jun 2022 07:29:56+0000|10
Michelle Pineda|MICH|MICH06397|Maria Taylor|76.4|92.2|9.8|CSE-ML|07 Nov 2022 21:30:30+0530|5
Cheryl Adams|CHER|CHER06398|Danielle Levy|83.6|75.2 %|8.0|CSE|13 Sep 2022 11:05:22+0800|3
Michelle Pineda|MICH|MICH06399|Tiffany Sanders|82.4|86.7 Perc|9.7|MECH|15 Nov 2022 03:30:58+0000|4
Lauren Jones|LAUR|LAUR06400|Christina Welch|91.1|78.5 Perc|8.1|CSE-AI|08 Oct 2022 09:46:37+0800|5
Laura Sawyer|LAUR|LAUR06401|Brent Black|85.5|91.1|9.4|CSE-ML|12 Feb 2023 11:47:11-0300|5
Michelle Pineda|MICH|MICH06402|Stephanie Ferguson|94.1|98.2 Perc|8.2|CSE-ML|02 Oct 2022 05:55:46+0000|12
Pamela Harris|PAME|PAME06403|Karen Davis|94.9|81.6 %|9.2|CSE-AI|05 Feb 2023 21:59:42+0000|4
Joseph Horton|JOSE|JOSE06404|Lynn Fitzpatrick|94.9|89.1 Perc|8.6|MECH|16 Jun 2022 10:07:24+0530|8
Erik Herrera|ERIK|ERIK06405|Robin Watts|96.1|82.4|8.1|CSE|23 Oct 2022 18:19:24-0300|0
Brandon Barker|BRAN|BRAN06406|Lisa White|75.8|90.3 %|9.2|CSE-AI|04 Jun 2023 01:06:49-0400|9
Mr. Joshua Summers DDS|MR. |MR. 06407|Edward Willis|97.6|76.3 Perc|8.9|CSE|03 Mar 2023 19:20:34+0800|8
Joseph Horton|JOSE|JOSE06408|Scott Walker|86.5|89.0 %|9.3|MECH|15 Jul 2022 10:04:06+0530|11
Ryan Gonzalez|RYAN|RYAN06409|Aaron Garcia|97.1|95.5|7.5|MECH|20 Jul 2022 22:34:05+0530|13
Andrew Diaz|ANDR|ANDR06410|Nathan Cherry|78.3|99.2 Perc|9.2|MECH|04 Oct 2022 20:37:53+0000|1
Andrew Murphy|ANDR|ANDR06411|James Mcmahon|82.6|82.7 %|8.2|MECH|14 Mar 2023 06:49:22+0800|10
Raymond Russell|RAYM|RAYM06412|Kathleen Boone|91.0|96.0 Perc|9.5|CSE-AI|18 Feb 2023 09:53:05+0000|13
Erik Herrera|ERIK|ERIK06413|Amy Edwards|75.7|91.2|9.2|MECH|10 Jul 2022 00:44:14+0800|1
Erik Herrera|ERIK|ERIK06414|Roger Hopkins|79.8|82.5 Perc|8.0|CSE-ML|30 Oct 2022 08:12:42+0800|10
William Webster|WILL|WILL06415|Randy Castillo|90.3|98.7 Perc|9.0|CSE|27 Nov 2022 10:07:43+0000|1
Mitchell Scott|MITC|MITC06416|Susan Powers|78.4|84.7|9.4|CSE-AI|01 Feb 2023 01:37:28+0800|9
William Webster|WILL|WILL06417|Charles Juarez Jr.|90.6|89.1 Perc|9.6|CSE|10 Aug 2022 20:50:48+0000|7
Michael Green|MICH|MICH06418|Mr. Kyle Gomez|87.8|86.1|9.3|CSE-AI|19 May 2023 10:29:49+0000|11
Laura Sawyer|LAUR|LAUR06419|Daniel Gibson|89.4|92.1|7.7|CSE-AI|21 Jul 2022 02:42:34-0400|10
Erik Herrera|ERIK|ERIK06420|Blake Phillips|96.5|75.5 Perc|8.4|MECH|28 Mar 2023 03:57:14+0000|9
